id,has_TM,has_SP
seq_14,0,0
seq_155,0,0
seq_200,0,0
seq_209,0,0
seq_216,0,0
seq_222,0,0
seq_270,0,0
seq_312,0,0
seq_385,0,0
seq_516,0,0
seq_540,0,0
seq_654,0,0
seq_675,0,0
seq_709,0,0
seq_749,0,0
seq_754,0,0
seq_765,0,0
seq_777,0,0
seq_808,0,0
seq_955,0,0
seq_1051,0,0
seq_1071,0,0
seq_1100,0,0
seq_1108,0,0
seq_1140,0,0
seq_1170,0,0
seq_1186,0,0
seq_1201,0,0
seq_1211,0,0
seq_1294,0,0
seq_1350,0,0
seq_1373,0,0
seq_1433,0,0
seq_1580,0,0
seq_1650,0,0
seq_1714,0,0
seq_1811,0,0
seq_1846,0,0
seq_1864,0,0
seq_1938,0,0
seq_1941,0,0
seq_2030,0,0
seq_2058,0,0
seq_2083,0,0
seq_2088,0,0
seq_2155,0,0
seq_2159,0,0
seq_2165,0,0
seq_2169,0,0
seq_2492,0,0
seq_2617,0,0
seq_2725,0,0
seq_2755,0,0
seq_2761,0,0
seq_2812,0,0
seq_2904,0,0
seq_2908,0,0
seq_2914,0,0
seq_2938,0,0
seq_2968,0,0
seq_3102,0,0
seq_3115,0,0
seq_3230,0,0
seq_3453,0,0
seq_3461,0,0
seq_3498,0,0
seq_3520,0,0
seq_3555,0,0
seq_3558,0,0
seq_3608,0,0
seq_3822,0,0
seq_3845,0,0
seq_3952,0,0
seq_3981,0,0
seq_4038,0,0
seq_4118,0,0
seq_4129,0,0
seq_4133,0,0
seq_4228,0,0
seq_4258,0,0
seq_4275,0,0
seq_4287,0,0
seq_4299,0,0
seq_4339,0,0
seq_4358,0,0
seq_4361,0,0
seq_4574,0,0
seq_4582,0,0
seq_4592,0,0
seq_4663,0,0
seq_4678,0,0
seq_4754,0,0
seq_4859,0,0
seq_4946,0,0
seq_5027,0,0
seq_5072,0,0
seq_5211,0,0
seq_5237,0,0
seq_5300,0,0
seq_5386,0,0
seq_5396,0,0
seq_5428,0,0
seq_5437,0,0
seq_5440,0,0
seq_5485,0,0
seq_5543,0,0
seq_5582,0,0
seq_5635,0,0
seq_5641,0,0
seq_5659,0,0
seq_5756,0,0
seq_5762,0,0
seq_5787,0,0
seq_5814,0,0
seq_5852,0,0
seq_5921,0,0
seq_5945,0,0
seq_6001,0,0
seq_6156,0,0
seq_6291,0,0
seq_6330,0,0
seq_6634,0,0
seq_6636,0,0
seq_6796,0,0
seq_6876,0,0
seq_6912,0,0
seq_6943,0,0
seq_6997,0,0
seq_7031,0,0
seq_7067,0,0
seq_7084,0,0
seq_7144,0,0
seq_7160,0,0
seq_7187,0,0
seq_7225,0,0
seq_7313,0,0
seq_7607,0,0
seq_7823,0,0
seq_7824,0,0
seq_7848,0,0
seq_7874,0,0
seq_7930,0,0
seq_7978,0,0
seq_8064,0,0
seq_8264,0,0
seq_8331,0,0
seq_8377,0,0
seq_8379,0,0
seq_8393,0,0
seq_8398,0,0
seq_8466,0,0
seq_8515,0,0
seq_8627,0,0
seq_8637,0,0
seq_8697,0,0
seq_8784,0,0
seq_8792,0,0
seq_8798,0,0
seq_8843,0,0
seq_8854,0,0
seq_8902,0,0
seq_8931,0,0
seq_8999,0,0
seq_9129,0,0
seq_9191,0,0
seq_9226,0,0
seq_9267,0,0
seq_9298,0,0
seq_9624,0,0
seq_9726,0,0
seq_9731,0,0
seq_9854,0,0
seq_9978,0,0
seq_10022,0,0
seq_10103,0,0
seq_10248,0,0
seq_10258,0,0
seq_10305,0,0
seq_10602,0,0
seq_10653,0,0
seq_10901,0,0
seq_10907,0,0
seq_10923,0,0
seq_10924,0,0
seq_10950,0,0
seq_10988,0,0
seq_11010,0,0
seq_11038,0,0
seq_11075,0,0
seq_11084,0,0
seq_11089,0,0
seq_11091,0,0
seq_11123,0,0
seq_11131,0,0
seq_11140,0,0
