id,score
seq52776,0.9944813
seq56511,0.00087556493
seq60162,1.0392652e-06
seq61152,0.9977436
seq1167,0.9995447
seq1227,1.8142664e-07
seq4910,0.45387125
seq6394,0.09678443
seq6396,3.0229156e-08
seq9549,0.97357315
seq17302,0.008481616
seq53808,0.99986994
seq55497,0.31062776
seq62126,0.026700128
seq62406,0.9995988
seq62689,1.1090072e-09
seq64179,4.7047542e-05
seq64183,8.258035e-05
seq64482,0.00016395564
seq6026,0.0016819743
seq13278,4.1341054e-06
seq14589,2.0074904e-09
seq16790,8.957052e-09
seq19035,3.540299e-08
seq56581,0.99916315
seq62041,0.9979595
seq3522,0.11988394
seq3670,0.0013087435
seq9412,4.987383e-07
seq53423,7.831848e-06
seq55174,0.98431814
seq55351,4.8694957e-08
seq59031,6.2951895e-06
seq59912,5.050554e-07
seq60674,0.99999833
seq62668,0.9999182
seq63913,0.02338909
seq64725,3.9481183e-06
seq64728,2.8441125e-09
seq65184,0.10866509
seq3124,0.000119336
seq7154,0.999845
seq13157,4.6175322e-05
seq13750,2.576194e-09
seq55352,0.9996418
seq58031,1.6916415e-08
seq58763,0.9997155
seq58805,0.9997429
seq60513,3.6582178e-06
seq60951,0.9079258
seq61886,0.99997985
seq6517,0.5410745
seq7303,2.0236672e-05
seq9877,2.7721747e-08
seq10572,0.11141939
seq16357,0.017069053
seq56630,0.009628135
seq63967,3.6438655e-06
seq64473,0.984244
seq65037,0.999765
seq6096,1.7316353e-08
seq8802,0.95662355
seq9825,0.9999937
seq62478,0.9999993
seq62570,0.9999558
seq62591,0.9998468
seq63447,6.94483e-08
seq63469,4.6724713e-09
seq64530,0.9993787
seq65397,0.0019016286
seq1708,1.0237608e-05
seq7179,0.000987442
seq11783,1.692231e-06
seq14513,7.0278643e-06
seq16750,1.2376102e-08
seq17657,0.99997747
seq51758,0.99728644
seq54277,0.019508725
seq54477,0.9655216
seq55345,0.47341165
seq57561,0.9972414
seq59120,1.8959224e-06
seq62105,0.020753892
seq62647,8.543879e-09
seq64108,0.99997926
seq2550,0.8400482
seq6726,0.99999595
seq7243,0.99999964
seq10576,7.4626894e-07
seq12550,0.0058759497
seq16180,0.08039542
seq16671,0.9946991
seq55756,0.0014133072
seq56268,2.7048806e-08
seq59509,0.019927971
seq59754,1.0091508e-08
seq60316,0.9998228
seq62704,7.343587e-07
seq63606,0.9999622
seq64168,2.8988628e-05
seq64442,2.1600877e-06
seq673,2.14719e-05
seq7586,0.00486313
seq52183,0.99995184
seq53422,0.0002184267
seq60577,0.5511388
seq60840,0.99999356
seq61628,0.036731966
seq63088,0.998408
seq63470,0.99995375
seq64702,0.99961275
seq64901,0.9996401
seq3845,0.9999838
seq10746,2.6509636e-06
seq55003,0.0001858754
seq56703,0.99879825
seq57951,0.0025924905
seq58417,0.999592
seq60804,2.3279317e-05
seq64111,0.5806036
seq2168,1.3029907e-06
seq7877,5.347049e-07
seq9100,1.4764436e-07
seq13362,0.9999255
seq13845,0.9996238
seq15550,0.99681926
seq15996,0.26179135
seq16665,0.8076786
seq37017,0.99989915
seq55153,0.9428608
seq61797,0.9963361
seq63104,0.99804294
seq63133,0.99987006
seq5577,0.32776326
seq55939,5.1458946e-06
seq56333,0.99998987
seq59119,0.0021304898
seq59351,0.87787646
seq63435,0.8634512
seq64736,1.8776314e-05
seq16724,7.17294e-08
seq53517,0.001190457
seq57722,2.4840456e-05
seq58314,0.9992718
seq58992,0.9996032
seq59247,2.6363727e-08
seq62927,5.1058845e-07
seq4994,0.29389074
seq18691,0.0354071
seq27549,0.50734663
seq52870,0.9999248
seq54611,0.0008232202
seq59766,0.9655477
seq62982,5.7861496e-07
seq5157,0.9986821
seq19196,0.99993944
seq54057,0.94463825
seq57410,1.3546824e-07
seq62843,0.9802209
seq63057,0.7264447
seq63265,0.99991727
seq63489,2.818033e-05
seq64105,0.9979486
seq64591,0.0027595598
seq736,0.9999994
seq4366,0.99995923
seq7682,0.96978843
seq7945,0.989865
seq9105,0.0038861486
seq11374,0.99999833
seq53660,0.99784994
seq54190,0.99961984
seq57427,1.1897893e-06
seq57802,0.050752107
seq58105,0.9507029
seq63013,0.034688164
seq63450,0.99804413
seq63477,0.99902785
seq2424,0.00017159313
seq3117,0.99943644
seq5994,0.89904416
seq12490,0.9992151
seq14725,0.041801307
seq25434,0.99999964
seq52336,1.9371203e-07
seq54851,0.00064011355
seq55004,2.3072358e-05
seq62293,3.7168323e-07
seq62742,0.99997973
seq62754,0.9954631
seq462,2.6071274e-07
seq5884,0.00011630477
seq7915,0.9908126
seq12583,2.1556266e-08
seq13816,0.61404735
seq54501,8.5020054e-07
seq55194,3.4897363e-05
seq61930,0.9936034
seq63679,8.947168e-06
seq7531,1.3973634e-07
seq10721,0.5796332
seq26412,0.9999987
seq53169,0.77682424
seq59868,0.81065506
seq62710,0.47092777
seq64427,0.85483825
seq65023,7.072086e-08
seq3932,2.4490814e-06
seq5419,5.25161e-07
seq49513,5.423096e-07
seq50806,1.2584364e-05
seq54431,0.9999895
seq55079,0.14427426
seq61138,0.9999893
seq64023,0.989903
seq65179,0.001404163
seq4990,0.0006069688
seq10050,0.9999927
seq28537,0.9999621
seq33342,0.10665177
seq48326,0.8307385
seq48382,0.34432337
seq52131,0.99991083
seq56952,9.772562e-06
seq60168,0.55204004
seq62338,0.99747133
seq63136,0.9999808
seq65280,0.13693874
