seq00003	UniRef90_A0A968CZQ4	50.0	78	38	1	1	78	1	77	1.90e-22	91.3
seq00005	UniRef90_G0S9S7	35.8	67	39	2	1	66	71	134	1.20e-02	42.4
seq00006	UniRef90_A0A2A5Y0F6	60.0	70	26	1	5	74	2	69	9.48e-17	82.8
seq00007	UniRef90_V7CT00	65.3	49	16	1	21	68	1	49	5.84e-11	65.9
seq00010	UniRef90_A0A976C6M8	45.6	68	37	0	6	73	33	100	5.02e-14	72.8
seq00015	UniRef90_UPI0015E0880F	50.0	64	28	1	25	84	11	74	1.17e-07	56.2
seq00016	UniRef90_U5EW53	44.2	52	29	0	2	53	79	130	2.40e-11	64.3
seq00020	UniRef90_A0A947R094	48.6	74	33	3	1	70	325	397	9.12e-10	62.8
seq00021	UniRef90_UPI0016449769	47.8	46	23	1	24	69	24	68	3.89e-03	43.9
seq00022	UniRef90_C3Z0I8	42.1	76	38	1	3	72	347	422	1.04e-07	57.0
seq00025	UniRef90_A0A4R2KS14	58.7	63	26	0	17	79	10	72	1.71e-13	72.4
seq00026	UniRef90_A0A962V715	50.0	78	38	1	2	78	3	80	1.15e-13	73.6
seq00028	UniRef90_I4DCK5	43.9	57	32	0	1	57	1	57	1.51e-04	48.1
seq00032	UniRef90_A0A1S1WW35	56.3	48	21	0	8	55	2	49	9.48e-10	62.0
seq00039	UniRef90_A0A938CVX0	53.2	77	36	0	2	78	3	79	3.38e-19	89.7
seq00042	UniRef90_A0A9E0VWS4	50.6	79	35	1	1	79	1	75	3.95e-17	79.0
seq00054	UniRef90_A0A9E2ZIS3	56.1	66	22	2	5	69	4	63	1.49e-09	57.8
seq00056	UniRef90_UPI0013D185B6	47.0	66	35	0	4	69	2	67	2.20e-13	73.2
seq00059	UniRef90_A0A522FMN1	60.0	70	28	0	8	77	14	83	1.20e-22	93.6
seq00062	UniRef90_UPI001C4C360E	52.9	34	16	0	20	53	80	113	4.51e-02	40.8
seq00065	UniRef90_A0A843SS36	38.6	57	35	0	5	61	6	62	3.98e-03	43.1
seq00073	UniRef90_A0A7S6VXQ4	59.6	52	21	0	20	71	45	96	6.79e-15	73.9
seq00076	UniRef90_A0A7K3EX98	54.7	75	34	0	4	78	2	76	4.31e-22	97.4
seq00077	UniRef90_A0A260EMS9	45.8	72	38	1	1	72	1	71	6.94e-11	65.5
seq00080	UniRef90_A0A971A6M7	56.7	60	26	0	14	73	7	66	6.01e-16	79.0
seq00081	UniRef90_A0A1E7NC70	45.8	72	36	2	4	72	2	73	2.11e-06	53.1
seq00087	UniRef90_A0A3E2HQM2	58.7	75	31	0	5	79	2	76	1.63e-16	82.0
seq00091	UniRef90_F9TCS9	57.1	70	30	0	3	72	4	73	9.10e-18	85.1
seq00094	UniRef90_A0A1G0R3Q0	68.2	66	21	0	12	77	7	72	3.27e-26	102
seq00102	UniRef90_A0A7Z1ADP2	45.8	72	37	1	2	71	14	85	2.18e-13	68.2
seq00116	UniRef90_UPI0021C7C280	38.8	85	49	2	2	83	3	87	3.22e-10	62.8
