"","seqid","score","%id"
"1","seq_1",-0.231618,0
"2","seq_2",-0.382203,44.6
"3","seq_3",-0.197516,0
"4","seq_4",-0.325507,0
"5","seq_5",-0.36952,0
"6","seq_6",-0.130893,69.9
"7","seq_7",-0.118952,0
"8","seq_8",-0.182862,0
"9","seq_9",-0.302534,45.1
"10","seq_10",-0.086692,0
"11","seq_11",-0.32052,0
"12","seq_12",-0.437781,98
"13","seq_13",-0.301336,46.8
"14","seq_14",-0.025158,0
"15","seq_15",-0.273561,0
"16","seq_16",-0.267463,0
"17","seq_17",-0.238705,66.7
"18","seq_18",-0.174714,85.5
"19","seq_19",-0.241562,0
"20","seq_20",-0.312812,0
"21","seq_21",-0.295714,0
"22","seq_22",-0.122586,0
"23","seq_23",-0.128579,76.8
"24","seq_24",-0.202229,0
"25","seq_25",-0.327972,0
"26","seq_26",-0.255076,63
"27","seq_27",-0.378827,71.4
"28","seq_28",-0.433255,0
"29","seq_29",-0.241504,0
"30","seq_30",-0.459307,100
"31","seq_31",-0.257964,55.7
"32","seq_32",-0.084107,0
"33","seq_33",-0.398988,97
"34","seq_34",-0.247614,0
"35","seq_35",-0.100103,0
"36","seq_36",-0.270551,0
"37","seq_37",-0.110463,0
"38","seq_38",-0.270838,0
"39","seq_39",-0.260564,0
"40","seq_40",-0.25762,44.2
"41","seq_41",-0.248794,0
"42","seq_42",-0.200226,0
"43","seq_43",-0.192511,0
"44","seq_44",-0.089209,0
"45","seq_45",-0.263123,0
"46","seq_46",-0.052418,0
"47","seq_47",-0.129239,0
"48","seq_48",-0.198011,62.2
"49","seq_49",-0.235641,76
"50","seq_50",-0.247287,0
"51","seq_51",-0.162882,0
"52","seq_52",-0.234363,0
"53","seq_53",-0.297227,0
"54","seq_54",-0.183785,54.3
"55","seq_55",-0.21091,87.1
"56","seq_56",-0.34798,0
"57","seq_57",-0.237284,0
"58","seq_58",-0.379971,51.4
"59","seq_59",-0.373049,52.1
"60","seq_60",-0.1211,85.9
"61","seq_61",-0.363869,68.8
"62","seq_62",-0.416331,38.1
"63","seq_63",-0.422005,0
"64","seq_64",-0.254677,59.5
"65","seq_65",-0.343063,0
"66","seq_66",-0.397216,0
"67","seq_67",-0.250625,0
"68","seq_68",-0.003528,82.2
"69","seq_69",-0.293572,48.4
"70","seq_70",-0.282404,0
"71","seq_71",-0.242043,80.6
"72","seq_72",-0.101795,0
"73","seq_73",-0.07041,0
"74","seq_74",-0.34993,0
"75","seq_75",-0.438078,100
"76","seq_76",-0.244606,0
"77","seq_77",-0.502765,97
"78","seq_78",-0.339777,58.7
"79","seq_79",-0.145791,68.1
"80","seq_80",-0.514101,32.4
"81","seq_81",-0.340668,50
"82","seq_82",-0.217437,0
"83","seq_83",-0.389259,47.7
"84","seq_84",-0.272725,50
"85","seq_85",-0.482724,100
"86","seq_86",-0.227818,0
"87","seq_87",-0.136572,45.7
"88","seq_88",-0.112299,0
"89","seq_89",-0.348056,35.8
"90","seq_90",-0.485857,0
"91","seq_91",-0.225845,0
"92","seq_92",-0.478009,77.6
"93","seq_93",-0.233145,0
"94","seq_94",-0.126561,0
"95","seq_95",-0.505925,88.9
"96","seq_96",-0.17017,0
"97","seq_97",-0.09269,95.7
"98","seq_98",-0.239909,0
"99","seq_99",-0.302324,0
"100","seq_100",-0.464855,93.9
"101","seq_101",-0.291001,0
"102","seq_102",-0.041351,0
"103","seq_103",-0.051234,49.5
"104","seq_104",-0.2303,0
"105","seq_105",-0.324266,0
"106","seq_106",-0.09642,0
"107","seq_107",-0.10946,0
"108","seq_108",-0.327424,0
"109","seq_109",-0.392806,0
"110","seq_110",-0.348102,0
"111","seq_111",-0.274914,56.4
"112","seq_112",-0.156059,0
"113","seq_113",-0.287532,0
"114","seq_114",-0.275058,0
"115","seq_115",-0.276017,0
"116","seq_116",-0.315358,0
"117","seq_117",-0.215408,0
"118","seq_118",-0.212651,79.7
"119","seq_119",-0.363944,0
"120","seq_120",-0.290487,0
"121","seq_121",-0.328671,0
"122","seq_122",-0.092484,87
"123","seq_123",-0.346911,0
"124","seq_124",-0.128679,0
"125","seq_125",-0.078179,90.7
"126","seq_126",-0.40576,0
"127","seq_127",-0.248887,0
"128","seq_128",-0.195223,0
"129","seq_129",-0.253524,0
"130","seq_130",-0.133737,0
"131","seq_131",-0.413235,42.5
"132","seq_132",-0.432055,0
"133","seq_133",-0.087007,0
"134","seq_134",-0.467959,72
"135","seq_135",-0.417362,0
"136","seq_136",-0.210296,50.5
"137","seq_137",-0.253348,40.4
"138","seq_138",-0.223608,0
"139","seq_139",-0.279727,0
"140","seq_140",-0.256434,0
"141","seq_141",-0.238984,50.7
"142","seq_142",-0.384375,0
"143","seq_143",-0.230119,0
"144","seq_144",-0.102444,0
"145","seq_145",-0.270757,0
"146","seq_146",-0.264208,100
"147","seq_147",-0.351453,0
"148","seq_148",-0.326378,0
"149","seq_149",-0.255038,0
"150","seq_150",-0.351028,0
"151","seq_151",-0.346431,0
"152","seq_152",-0.163886,45.8
"153","seq_153",-0.469172,77.6
"154","seq_154",-0.217838,0
"155","seq_155",-0.152223,0
"156","seq_156",-0.193593,79.8
"157","seq_157",-0.346463,0
"158","seq_158",-0.103035,0
"159","seq_159",-0.259605,0
"160","seq_160",-0.08675,0
"161","seq_161",-0.205695,0
"162","seq_162",-0.217984,0
"163","seq_163",-0.331686,41.7
"164","seq_164",-0.114437,0
"165","seq_165",-0.328821,38.1
"166","seq_166",-0.336577,0
"167","seq_167",-0.417437,0
"168","seq_168",-0.314211,0
"169","seq_169",-0.244775,0
