id,has_TM,has_SP
seq00086,0,0
seq00156,0,0
seq00364,0,0
seq00447,0,0
seq00664,0,0
seq01348,0,0
seq01402,0,0
seq01411,0,0
seq01800,0,0
seq01897,0,0
seq02051,0,0
seq02085,0,0
seq02113,0,0
seq03002,0,0
seq03353,0,0
seq03359,0,0
seq03821,0,0
seq03855,0,0
seq03996,0,0
seq04429,0,0
seq05529,0,0
seq05884,0,0
seq06013,0,0
seq06056,0,0
seq06272,0,0
seq06316,0,0
seq07007,0,0
seq08070,0,0
seq08413,0,0
seq08491,0,0
seq09197,0,0
seq09643,0,0
seq09694,0,0
seq10016,0,0
seq10189,0,0
seq10472,0,0
seq11719,0,0
seq12271,0,0
seq12579,0,0
seq12608,0,0
seq12633,0,0
seq12760,0,0
seq12880,0,0
seq13069,0,0
seq13900,0,0
seq16198,0,0
seq16223,0,0
seq16914,0,0
seq17226,0,0
seq17712,0,0
seq17764,0,0
seq18337,0,0
seq18416,0,0
seq18636,0,0
seq18679,0,0
seq18970,0,0
seq19329,0,0
seq19497,0,0
seq20758,0,0
seq21088,0,0
seq21251,0,0
seq21259,0,0
seq21553,0,0
seq21873,0,0
seq22462,0,0
seq22512,0,0
seq22981,0,0
seq23020,0,0
seq23549,0,0
seq24114,0,0
seq24235,0,0
seq24573,0,0
seq24763,0,0
seq24930,0,0
seq24975,0,0
seq25168,0,0
seq25523,0,0
seq26262,0,0
seq26571,0,0
seq26701,0,0
seq26884,0,0
seq26905,0,0
seq27033,0,0
seq27410,0,0
seq27521,0,0
seq29194,0,0
seq29950,0,0
seq30059,0,0
seq30075,0,0
seq30347,0,0
seq30451,0,0
seq31497,0,0
seq31816,0,0
seq32010,0,0
seq32248,0,0
seq32530,0,0
seq34104,0,0
seq34344,0,0
seq34385,0,0
seq35111,0,0
seq35374,0,0
seq36116,0,0
seq36392,0,0
seq36575,0,0
seq37096,0,0
seq37561,0,0
seq38966,0,0
seq39236,0,0
seq39725,0,0
seq39818,0,0
seq41201,0,0
seq41706,0,0
seq41756,0,0
seq42397,0,0
seq42844,0,0
seq43001,0,0
seq44703,0,0
seq44737,0,0
seq44765,0,0
seq44819,0,0
seq44892,0,0
seq45817,0,0
seq46041,0,0
seq46044,0,0
seq46323,0,0
seq46742,0,0
seq46983,0,0
seq47574,0,0
seq47616,0,0
seq47891,0,0
seq47988,0,0
seq48326,0,0
seq49121,0,0
seq50314,0,0
seq50405,0,0
seq50458,0,0
seq51245,0,0
seq51952,0,0
seq52503,0,0
seq53752,0,0
seq53858,0,0
seq54541,0,0
seq55041,0,0
seq55490,0,0
seq55860,0,0
seq56313,0,0
seq56560,0,0
seq56819,0,0
seq56908,0,0
seq56988,0,0
seq57795,0,0
seq58247,0,0
seq58418,0,0
seq58637,0,0
seq58998,0,0
seq59029,0,0
seq60007,0,0
seq60696,0,0
seq61091,0,0
seq61219,0,0
seq61325,0,0
seq61437,0,0
seq62228,0,0
seq62310,0,0
seq63028,0,0
seq63035,0,0
seq63409,0,0
seq63429,0,0
seq63492,0,0
seq63516,0,0
seq63716,0,0
seq63920,0,0
seq63923,0,0
seq64365,0,0
seq64377,0,0
seq64524,0,0
seq64577,0,0
seq64820,0,0
seq64862,0,0
seq64946,0,0
seq65061,0,0
seq65087,0,0
seq65359,0,0
seq65736,0,0
seq65771,0,0
seq65813,0,0
seq65875,0,0
seq66248,0,0
seq66278,0,0
seq67156,0,0
seq67290,0,0
seq68081,0,0
seq68543,0,0
seq68620,0,0
seq68959,0,0
seq69543,0,0
seq69704,0,0
seq69836,0,0
seq70097,0,0
seq70260,0,0
seq71673,0,0
seq73887,0,0
seq73994,0,0
seq74163,0,0
seq74409,0,0
seq74902,0,0
seq75284,0,0
seq75300,0,0
seq75481,0,0
seq76365,0,0
seq76940,0,0
seq77091,0,0
seq77467,0,0
seq78066,0,0
seq78219,0,0
seq78359,0,0
seq78431,0,0
seq78480,0,0
seq78815,0,0
seq79577,0,0
seq80011,0,0
seq80660,0,0
seq80831,0,0
seq80986,0,0
seq81953,0,0
seq82127,0,0
seq82555,0,0
seq82583,0,0
seq82748,0,0
seq82756,0,0
seq82787,0,0
seq82928,0,0
seq82961,0,0
seq82970,0,0
seq82993,0,0
seq83431,0,0
seq83859,0,0
seq84172,0,0
seq84221,0,0
seq84268,0,0
seq84357,0,0
seq84420,0,0
seq84760,0,0
seq85537,0,0
seq86347,0,0
seq87273,0,0
seq87650,0,0
seq88064,0,0
seq88553,0,0
seq89062,0,0
seq89562,0,0
seq89915,0,0
seq89969,0,0
seq90228,0,0
seq90579,0,0
seq90821,0,0
seq90940,0,0
seq91108,0,0
seq91955,0,0
seq92104,0,0
seq92158,0,0
seq92456,0,0
seq92684,0,0
seq92976,0,0
seq93041,0,0
seq93126,0,0
seq93254,0,0
seq93331,0,0
seq93407,0,0
seq93590,0,0
seq93643,0,0
seq94955,0,0
seq95429,0,0
seq95490,0,0
seq96139,0,0
seq96747,0,0
seq96766,0,0
seq97771,0,0
seq98778,0,0
seq98920,0,0
seq99309,0,0
seq99476,0,0
seq99996,0,0
seq100409,0,0
seq101190,0,0
seq101401,0,0
seq101535,0,0
seq101556,0,0
seq101601,0,0
seq101615,0,0
seq101813,0,0
seq102236,0,0
seq102632,0,0
seq102641,0,0
seq102724,0,0
seq103193,0,0
seq103514,0,0
seq103570,0,0
seq104228,0,0
seq104646,0,0
seq104841,0,0
seq106333,0,0
seq107076,0,0
seq107147,0,0
seq107279,0,0
seq107844,0,0
seq107952,0,0
seq107966,0,0
seq108440,0,0
seq108454,0,0
seq108695,0,0
seq108743,0,0
seq109873,0,0
seq110581,0,0
seq111017,0,0
seq111205,0,0
seq111534,0,0
seq112285,0,0
seq112305,0,0
seq112772,0,0
seq113223,0,0
seq113414,0,0
seq113774,0,0
seq115685,0,0
seq115729,0,0
seq116204,0,0
seq116271,0,0
seq117139,0,0
seq117277,0,0
seq117495,0,0
seq117555,0,0
seq117947,0,0
seq119029,0,0
seq119479,0,0
seq120112,0,0
seq120218,0,0
seq120865,0,0
seq121212,0,0
seq121659,0,0
seq121825,0,0
seq122963,0,0
seq123477,0,0
seq123760,0,0
seq123866,0,0
seq124251,0,0
seq124530,0,0
seq125106,0,0
seq125226,0,0
seq125275,0,0
seq125421,0,0
seq125814,0,0
seq127045,0,0
seq127063,0,0
seq127435,0,0
seq128203,0,0
seq128286,0,0
seq128475,0,0
seq129072,0,0
seq129934,0,0
seq130157,0,0
seq130594,0,0
seq132533,0,0
seq132826,0,0
seq133342,0,0
seq133470,0,0
seq133561,0,0
seq134304,0,0
seq134435,0,0
seq135643,0,0
seq136379,0,0
seq136897,0,0
seq137839,0,0
seq138341,0,0
seq139270,0,0
seq139624,0,0
seq141132,0,0
seq141282,0,0
seq141450,0,0
seq141528,0,0
seq141760,0,0
seq141953,0,0
seq142506,0,0
seq142821,0,0
seq143137,0,0
seq143873,0,0
seq144276,0,0
seq144332,0,0
seq145368,0,0
seq145479,0,0
seq146533,0,0
seq146685,0,0
seq147086,0,0
seq147269,0,0
seq147271,0,0
seq147287,0,0
seq147346,0,0
seq147760,0,0
seq148066,0,0
seq148343,0,0
seq148589,0,0
seq148863,0,0
seq149190,0,0
seq149321,0,0
seq149750,0,0
seq149784,0,0
seq149921,0,0
seq150226,0,0
seq150229,0,0
seq150310,0,0
seq150887,0,0
seq151200,0,0
seq151252,0,0
seq151275,0,0
seq151986,0,0
seq152316,0,0
seq152347,0,0
seq152509,0,0
seq152766,0,0
seq152855,0,0
seq153301,0,0
seq153364,0,0
seq153387,0,0
seq153741,0,0
seq153770,0,0
seq153771,0,0
seq154932,0,0
seq155098,0,0
