"","id","score","%id"
"2","seq00003",-0.309864,50
"4","seq00005",-0.350635,35.8
"5","seq00006",-0.403582,60
"6","seq00007",-0.277247,65.3
"8","seq00010",-0.251907,45.6
"13","seq00015",-0.203317,50
"14","seq00016",-0.358045,44.2
"16","seq00020",-0.466488,48.6
"17","seq00021",-0.455613,47.8
"18","seq00022",-0.29724,42.1
"21","seq00025",-0.285362,58.7
"22","seq00026",-0.304989,50
"23","seq00028",-0.279101,43.9
"27","seq00032",-0.307266,56.3
"33","seq00039",-0.208515,53.2
"36","seq00042",-0.243474,50.6
"43","seq00054",-0.251617,56.1
"44","seq00056",-0.264437,47
"47","seq00059",-0.35616,60
"49","seq00062",-0.46575,52.9
"50","seq00065",-0.308862,38.6
"58","seq00073",-0.335993,59.6
"61","seq00076",-0.390181,54.7
"62","seq00077",-0.430525,45.8
"64","seq00080",-0.367243,56.7
"65","seq00081",-0.306519,45.8
"71","seq00087",-0.276013,58.7
"75","seq00091",-0.216952,57.1
"78","seq00094",-0.191417,68.2
"84","seq00102",-0.326695,45.8
"96","seq00116",-0.292862,38.8
"105","seq00127",-0.271222,52.9
"109","seq00132",-0.353682,46.9
"123","seq00150",-0.369913,47.9
"124","seq00151",-0.279822,46.4
"131","seq00159",-0.373881,40.4
"137","seq00167",-0.316506,42.7
"145","seq00176",-0.310118,45.2
"147","seq00180",-0.32413,59.7
"151","seq00184",-0.320644,42.5
"152","seq00185",-0.313835,50.8
"158","seq00192",-0.282717,51.4
"165","seq00202",-0.394018,51.5
"174","seq00215",-0.371992,59.3
"179","seq00220",-0.32727,44.3
"183","seq00226",-0.346722,51.1
"188","seq00232",-0.413011,41.7
"192","seq00236",-0.334219,44
"209","seq00256",-0.322404,60.6
"213","seq00262",-0.400019,48.6
"214","seq00263",-0.370227,48.4
"215","seq00265",-0.276652,39.1
"220","seq00272",-0.397032,46.4
"223","seq00277",-0.263648,50
"228","seq00284",-0.36966,46.3
"229","seq00285",-0.396613,51.3
"232","seq00288",-0.371242,43.1
"234","seq00292",-0.27817,50.8
"238","seq00297",-0.237287,56.9
"239","seq00298",-0.253613,55
"247","seq00307",-0.300994,48.2
"250","seq00313",-0.30982,56
"259","seq00323",-0.288295,72.6
"260","seq00324",-0.361713,47
"262","seq00326",-0.245734,79.1
"263","seq00327",-0.331114,47.9
"266","seq00330",-0.375943,42.6
"269","seq00334",-0.28835,46.5
"271","seq00337",-0.334188,35.5
"277","seq00344",-0.280253,44.8
"278","seq00346",-0.349423,42.9
"281","seq00349",-0.327709,41.1
"290","seq00361",-0.377199,39.7
"294","seq00367",-0.352029,44.8
"298","seq00373",-0.258807,63.2
