id,score
seq_14,0.6744741
seq_155,0.99898547
seq_200,2.7921948e-05
seq_209,0.05474008
seq_216,0.9999366
seq_222,0.9899567
seq_270,0.9998996
seq_312,4.712715e-08
seq_385,0.99941945
seq_516,0.54030687
seq_540,0.010828326
seq_654,0.99188304
seq_675,0.9999795
seq_709,0.9999931
seq_749,0.022947693
seq_754,0.17533882
seq_765,0.88329744
seq_777,0.9999924
seq_808,0.2530855
seq_955,0.99999726
seq_1051,0.99997604
seq_1071,0.34989133
seq_1100,0.99999976
seq_1108,1.055886e-06
seq_1140,0.9999821
seq_1170,0.95909965
seq_1186,0.026717
seq_1201,0.95954376
seq_1211,4.4915654e-05
seq_1294,1.4088516e-05
seq_1350,2.6224286e-06
seq_1373,0.00013926388
seq_1433,0.00012269587
seq_1580,0.999936
seq_1650,5.5014484e-06
seq_1714,0.9998306
seq_1811,0.0027417254
seq_1846,0.00024930833
seq_1864,0.99999034
seq_1938,0.0633389
seq_1941,0.45732298
seq_2030,5.6782636e-05
seq_2058,0.99999857
seq_2083,0.049415734
seq_2088,0.99977094
seq_2155,0.97975874
seq_2159,0.97490853
seq_2165,0.0009733166
seq_2169,0.9995535
seq_2492,8.575824e-07
seq_2617,0.9986443
seq_2725,0.99921215
seq_2755,0.99999917
seq_2761,0.00042839133
seq_2812,0.93434715
seq_2904,0.9998441
seq_2908,0.999992
seq_2914,0.99992406
seq_2938,0.99113035
seq_2968,0.47220773
seq_3102,2.5221249e-12
seq_3115,0.0029683781
seq_3230,8.629647e-06
seq_3453,0.70514035
seq_3461,0.999281
seq_3498,1.1703573e-06
seq_3520,0.0001621605
seq_3555,0.99895096
seq_3558,0.11624909
seq_3608,0.07197398
seq_3822,0.999121
seq_3845,0.9994604
seq_3952,9.917627e-07
seq_3981,2.862872e-06
seq_4038,0.0012559276
seq_4118,0.99430895
seq_4129,0.9999795
seq_4133,0.9999976
seq_4228,0.99983287
seq_4258,0.9866268
seq_4275,0.003706089
seq_4287,0.00015015606
seq_4299,0.99773645
seq_4339,0.99385613
seq_4358,0.99996626
seq_4361,0.98605055
seq_4574,0.51569396
seq_4582,1.1467028e-05
seq_4592,5.874349e-07
seq_4663,0.9999616
seq_4678,0.9788518
seq_4754,4.5588213e-06
seq_4859,2.0459245e-05
seq_4946,1.3138216e-05
seq_5027,0.9999888
seq_5072,0.42791662
seq_5211,0.45027354
seq_5237,0.9999994
seq_5300,0.99999547
seq_5386,0.94089115
seq_5396,0.9990709
seq_5428,4.3825025e-07
seq_5437,0.14135131
seq_5440,0.9999857
seq_5485,0.99999046
seq_5543,0.44925886
seq_5582,1.0
seq_5635,3.262158e-10
seq_5641,0.17499836
seq_5659,0.99999225
seq_5756,8.6479355e-05
seq_5762,0.997347
seq_5787,0.060708694
seq_5814,0.025684886
seq_5852,0.9999999
seq_5921,0.4148242
seq_5945,0.9982994
seq_6001,0.12288179
seq_6156,0.0012712968
seq_6291,0.025354963
seq_6330,0.90839016
seq_6634,0.9997389
seq_6636,0.99101406
seq_6796,0.9999988
seq_6876,0.99999654
seq_6912,0.9996117
seq_6943,0.99963367
seq_6997,0.99998033
seq_7031,0.00040730956
seq_7067,4.4815063e-09
seq_7084,2.843771e-09
seq_7144,0.9892699
seq_7160,0.9999857
seq_7187,6.30231e-07
seq_7225,7.584743e-07
seq_7313,0.9961205
seq_7607,0.9999883
seq_7823,0.9997867
seq_7824,2.4436665e-06
seq_7848,3.945939e-06
seq_7874,0.018129423
seq_7930,0.04470747
seq_7978,0.31459132
seq_8064,0.99999976
seq_8264,7.9788734e-08
seq_8331,0.999734
seq_8377,0.9999906
seq_8379,0.999987
seq_8393,1.8735105e-05
seq_8398,0.99985445
seq_8466,0.9956168
seq_8515,0.00810691
seq_8627,0.002530188
seq_8637,0.99993134
seq_8697,0.99982184
seq_8784,1.8495184e-05
seq_8792,0.9984896
seq_8798,0.9999999
seq_8843,0.9824055
seq_8854,0.99999166
seq_8902,0.9999535
seq_8931,0.9999689
seq_8999,0.7106102
seq_9129,2.1021829e-07
seq_9191,0.004962704
seq_9226,0.025162024
seq_9267,1.1698374e-10
seq_9298,6.11557e-05
seq_9624,1.4549097e-05
seq_9726,0.8252292
seq_9731,0.74386257
seq_9854,0.99948335
seq_9978,0.56960756
seq_10022,0.23895966
seq_10103,0.9696474
seq_10248,3.2446267e-05
seq_10258,1.7221962e-05
seq_10305,0.9998896
seq_10602,0.99999654
seq_10653,0.9999802
seq_10901,3.9078272e-06
seq_10907,5.5605786e-05
seq_10923,2.4097255e-05
seq_10924,1.0360049e-07
seq_10950,0.99917656
seq_10988,0.0018926322
seq_11010,0.9456576
seq_11038,0.9999987
seq_11075,0.94399345
seq_11084,0.94202274
seq_11089,7.6208757e-06
seq_11091,0.99996865
seq_11123,2.1600547e-06
seq_11131,0.99970883
seq_11140,0.9998702
seq_11203,0.7570363
seq_11207,0.97527856
seq_11248,0.97683674
seq_11277,0.99875736
seq_11319,2.0658126e-05
seq_11323,0.0571919
seq_11344,0.99998844
seq_11427,0.99972457
seq_11455,4.132899e-06
seq_11458,0.9960974
seq_11509,3.2852997e-05
seq_11610,0.98449194
seq_11611,0.98760825
seq_11635,0.9995696
seq_11643,0.99999857
seq_11686,0.9999933
seq_11687,0.9296628
seq_11701,0.07207925
seq_11857,0.0012863672
seq_11934,0.892912
seq_12067,0.998865
seq_12155,0.99999225
seq_12194,0.9798647
seq_12425,5.3284916e-06
seq_12667,0.047371145
seq_12677,0.982486
seq_12733,1.090087e-06
seq_12861,0.9999969
seq_12884,0.008474743
seq_12911,0.9391486
seq_12971,2.3430837e-05
seq_13267,0.99956733
seq_13364,0.0011632185
seq_13523,0.000117557014
seq_13603,8.751465e-09
seq_13638,0.0003804608
seq_13661,0.9999714
seq_13687,0.9514067
seq_13724,4.334368e-06
seq_13732,0.9999721
seq_13765,0.03868895
seq_13821,4.5664797e-06
seq_13890,0.9370529
seq_13910,0.560423
seq_13968,0.9991923
seq_13977,1.9297793e-06
seq_14180,0.99943405
seq_14194,0.9992643
seq_14198,0.6851511
seq_14239,0.99961406
seq_14296,0.0017857509
seq_14380,0.37049586
seq_14381,1.0
seq_14391,0.9352533
seq_14401,0.9999596
seq_14442,0.9997702
seq_14467,0.9897261
seq_14480,0.0078679025
seq_14491,0.013152619
seq_14558,0.99999595
seq_14588,0.9998704
seq_14613,0.99991155
seq_14722,0.0052439156
seq_14723,0.99916315
seq_14748,0.6191277
seq_14869,0.9996761
seq_14902,0.99999106
seq_15046,0.96406907
seq_15140,0.9998939
seq_15158,0.9756159
seq_15172,0.9931415
seq_15182,0.0003552599
seq_15208,0.9978223
seq_15314,0.9996803
seq_15379,0.9721085
seq_15454,0.0030697114
seq_15609,5.670812e-06
seq_15659,0.6459243
seq_15662,0.99999976
seq_15801,0.9317642
seq_15802,0.040928837
seq_15808,1.7810191e-09
seq_15817,0.99999964
seq_15903,0.00020127575
seq_15931,0.02671682
seq_16177,0.9994204
seq_16213,0.99796605
seq_16254,0.9998834
seq_16267,0.9999783
seq_16301,0.95023626
seq_16389,0.966511
seq_16481,0.25407428
seq_16501,0.9999924
seq_16540,0.9999621
seq_16582,0.9999862
seq_16716,0.020317204
seq_16748,0.99990463
seq_16960,2.701416e-08
seq_17047,0.999551
seq_17083,0.04652933
seq_17130,0.99959034
seq_17144,0.9994165
seq_17175,0.17264943
seq_17349,3.4818227e-06
seq_17384,0.0011530888
seq_17517,0.5547254
seq_17590,0.9999361
seq_17604,0.72988516
seq_17642,0.015179723
seq_17646,0.00058742036
seq_17662,0.99999094
seq_17668,0.061903562
seq_17692,0.99792165
seq_17694,0.99972683
seq_17696,1.215203e-09
seq_17700,0.0066516586
seq_17706,0.0060909824
seq_17711,0.8841262
seq_17750,0.99997187
seq_17967,3.6294549e-07
seq_18092,0.9995388
seq_18125,0.7656561
seq_18267,0.0007486255
seq_18348,0.99837697
seq_18410,0.9999732
seq_18512,0.9760932
seq_18514,0.00048343252
seq_18572,0.9982046
seq_18583,0.019138703
seq_18606,1.8979014e-08
seq_18662,0.812603
seq_18686,0.088508
seq_18696,0.00020664973
seq_18825,0.99999547
seq_18849,1.0
seq_18937,0.00072895293
seq_18979,0.9940089
seq_19033,0.8898753
seq_19052,0.99898785
seq_19057,0.9999982
seq_19065,0.016106403
seq_19095,1.0
seq_19103,0.8303415
seq_19134,0.00038725158
seq_19169,0.9994617
seq_19233,0.00072407525
seq_19366,0.9743965
seq_19511,0.99949014
seq_19592,0.9990963
seq_19749,2.7233077e-07
seq_19790,0.9978138
seq_20136,0.00024562766
seq_20142,0.9349201
seq_20252,0.5154298
seq_20256,7.372445e-11
seq_20272,0.00020919502
seq_20355,4.579025e-07
seq_20357,0.2534196
seq_20753,0.9999113
seq_20794,2.7386975e-06
seq_20797,0.24586648
seq_20841,3.4353986e-06
seq_20937,0.9990181
seq_20992,2.8392983e-06
seq_21114,0.9996791
seq_21122,0.99438524
seq_21125,2.5287811e-06
seq_21150,0.9891426
seq_21191,0.9997631
seq_21195,0.9999995
seq_21242,0.10440725
seq_21300,0.9999937
seq_21418,0.0008301831
seq_21450,1.6865384e-08
seq_21471,0.9999888
seq_21555,0.99003184
seq_21645,0.9713211
seq_21650,0.28766114
seq_21670,0.99999905
seq_21726,0.99937785
seq_21734,0.9999856
seq_21776,0.002585119
seq_21779,0.98577416
seq_21782,0.98792356
seq_21792,0.003996076
seq_21840,0.00568305
seq_21845,2.009173e-06
seq_21861,0.99991846
seq_21923,1.3755493e-08
seq_21942,0.0023419822
seq_21955,0.0005362884
seq_21983,0.6189105
seq_22184,0.9994611
seq_22314,0.025283733
seq_22380,0.85989267
seq_22527,0.00034630907
seq_22549,0.8737872
seq_22584,0.99957114
seq_22589,0.99999976
seq_22693,0.0006597287
seq_22717,0.99830544
seq_22729,2.1733183e-06
seq_22741,0.9999974
seq_22775,0.25365987
seq_22786,0.9999957
seq_22838,0.56050456
seq_22895,0.6745201
seq_22908,1.0
seq_22961,0.99450386
seq_23014,0.0042651915
seq_23035,0.99978083
seq_23084,1.9125542e-05
seq_23092,1.0
seq_23105,0.9999759
seq_23262,0.99316025
seq_23283,0.9986228
seq_23290,0.8877891
seq_23329,0.99998784
seq_23449,0.9830388
seq_23466,0.9998099
seq_23494,3.2567197e-05
seq_23528,1.1826534e-08
seq_23551,0.0023268335
seq_23560,0.0006754333
seq_23597,0.17354083
seq_23598,0.9999993
seq_23625,2.907978e-05
seq_23849,0.017349534
seq_23916,0.9999403
seq_23941,0.99996114
seq_23945,0.99985075
seq_24001,0.59955704
seq_24042,9.9486615e-06
seq_24045,0.99997413
seq_24048,0.001259741
seq_24158,0.999967
seq_24170,0.99999523
seq_24188,1.17040926e-07
seq_24225,0.9983394
seq_24334,0.99999714
seq_24395,0.9999995
seq_24418,0.94246167
seq_24521,1.0
seq_24588,0.08900558
seq_24679,0.99996614
seq_24706,0.9999908
seq_24997,3.5510166e-05
seq_25079,0.00016391125
seq_25091,0.9989772
seq_25108,0.9975884
seq_25145,0.95521593
seq_25195,0.99949086
seq_25198,0.0023646005
seq_25238,0.79631793
seq_25324,0.9688493
seq_25342,4.670786e-06
seq_25376,0.95459646
seq_25432,0.99972075
seq_25499,0.9918474
seq_25502,0.00012370123
seq_25568,0.9998828
seq_25648,0.04267426
seq_25726,0.9926455
seq_25787,0.00012845658
seq_25811,5.221496e-05
seq_25816,0.82684076
seq_25984,0.99825746
seq_26019,0.99999857
seq_26124,0.9999994
seq_26139,0.9989654
seq_26340,0.052878723
seq_26353,0.97766113
