"","id","score","%id"
"1","seq2",-0.271728,0
"2","seq3",-0.181783,80
"3","seq4",-0.234729,64.8
"4","seq5",-0.26973,0
"5","seq6",-0.301544,32.8
"6","seq7",-0.110284,80.7
"7","seq8",-0.245125,36.6
"8","seq9",-0.282043,0
"9","seq10",-0.308649,32.5
"10","seq11",-0.360093,0
"11","seq12",-0.324423,0
"12","seq13",-0.356176,0
"13","seq14",-0.170932,70.3
"14","seq15",-0.266289,0
"15","seq16",-0.38301,0
"16","seq17",-0.389546,0
"17","seq18",-0.286659,38.2
"18","seq19",-0.359504,0
"19","seq20",-0.250097,0
"20","seq21",-0.320474,44.9
"21","seq22",-0.351796,0
"22","seq23",-0.322908,0
"23","seq24",-0.156718,54.7
"24","seq25",-0.260929,0
"25","seq26",-0.345137,0
"26","seq27",-0.190915,70.8
"27","seq28",-0.305336,0
"28","seq29",-0.333471,0
"29","seq30",-0.324332,0
"30","seq31",-0.256065,38.9
"31","seq32",-0.31692,31.3
"32","seq33",-0.285008,0
"33","seq34",-0.141442,65.5
"34","seq35",-0.389808,69.3
"35","seq36",-0.287635,41
"36","seq37",-0.285425,0
"37","seq38",-0.400465,0
"38","seq39",-0.188717,51.5
"39","seq40",-0.313376,0
"40","seq41",-0.248518,59
"41","seq42",-0.412644,0
"42","seq43",-0.252105,0
"43","seq44",-0.251911,0
"44","seq45",-0.38457,0
"45","seq46",-0.27182,0
"46","seq47",-0.299692,43.3
"47","seq48",-0.318417,0
"48","seq49",-0.324793,0
"49","seq50",-0.249561,0
"50","seq51",-0.364376,35.1
"51","seq52",-0.200114,0
"52","seq53",-0.219624,0
"53","seq54",-0.315491,38.9
"54","seq55",-0.374291,0
"55","seq56",-0.341433,0
"56","seq57",-0.240445,54
"57","seq58",-0.331695,0
"58","seq59",-0.41154,47.3
"59","seq60",-0.253442,0
"60","seq61",-0.193404,63.5
"61","seq62",-0.372817,47.9
"62","seq63",-0.430339,72.7
"63","seq64",-0.233975,73
"64","seq65",-0.179454,58.8
"65","seq66",-0.250109,0
"66","seq67",-0.29533,0
"67","seq68",-0.316534,0
"68","seq69",-0.33911,0
"69","seq70",-0.266311,44.6
"70","seq71",-0.279527,0
"71","seq72",-0.210976,44.4
"72","seq73",-0.350035,45.1
"73","seq74",-0.285549,0
"74","seq75",-0.296525,38.2
"75","seq76",-0.295154,50
"76","seq77",-0.281754,0
"77","seq78",-0.256181,36.5
"78","seq79",-0.36856,0
"79","seq80",-0.177593,59.7
"80","seq81",-0.089145,71.3
"81","seq82",-0.264266,65.9
"82","seq83",-0.082992,77.4
"83","seq84",-0.216163,52.9
"84","seq85",-0.220263,38.3
"85","seq86",-0.351497,0
"86","seq87",-0.179072,53.2
"87","seq88",-0.1919,63.4
"88","seq89",-0.350223,0
"89","seq90",-0.271992,0
"90","seq91",-0.294445,0
"91","seq92",-0.425094,41.1
"92","seq93",-0.264498,37.3
"93","seq94",-0.136056,62.9
"94","seq95",-0.367433,0
"95","seq96",-0.300059,40
"96","seq97",-0.377998,0
"97","seq98",-0.291897,42.9
"98","seq99",-0.289945,38.2
"99","seq100",-0.333622,0
"100","seq101",-0.30789,0
"101","seq102",-0.275397,46.9
"102","seq103",-0.318445,0
"103","seq104",-0.265649,0
"104","seq105",-0.292982,57.9
"105","seq106",-0.172995,60.9
"106","seq107",-0.383563,0
"107","seq108",-0.279475,0
"108","seq109",-0.331266,0
"109","seq110",-0.28028,38.9
"110","seq111",-0.350321,47.2
"111","seq112",-0.33403,0
"112","seq113",-0.248318,0
"113","seq114",-0.126642,72.2
"114","seq115",-0.239047,0
"115","seq116",-0.319703,0
"116","seq117",-0.242695,0
"117","seq118",-0.239909,0
"118","seq119",-0.351573,65.2
"119","seq120",-0.274317,47.2
"120","seq121",-0.255801,0
"121","seq122",-0.239058,0
"122","seq123",-0.27562,48
